title,url,created,state,whensent,category,lastupdate,latitude,longitude,ward,location
"Dumped TV etc.",https://www.fixmystreet.com/report/103597,"2010-03-16 14:49:51 UTC",fixed,"2010-03-16 14:55:04 UTC",Flytipping,"2010-04-14 14:53:06 UTC",51.38404532,-2.376426469,Westmoreland,"{""latitude"":51.38404532,""longitude"":-2.376426469,""geojson"":{""type"":""Point"",""coordinates"":[-2.376426469,51.38404532]}}"
"Water flowing down hill",https://www.fixmystreet.com/report/182300,"2011-05-01 14:06:14 UTC",confirmed,"2011-05-01 14:10:03 UTC",Other,"2011-05-01 14:10:03 UTC",51.30058,-2.455233,Norton-Radstock,"{""latitude"":51.30058,""longitude"":-2.455233,""geojson"":{""type"":""Point"",""coordinates"":[-2.455233,51.30058]}}"
"Dangerous pelican crossing without lights in Railway Place",https://www.fixmystreet.com/report/298032,"2012-12-14 13:06:36 UTC",confirmed,"2012-12-14 13:10:10 UTC","Traffic lights","2013-09-26 09:47:01 UTC",51.377962,-2.356485,Abbey,"{""latitude"":51.377962,""longitude"":-2.356485,""geojson"":{""type"":""Point"",""coordinates"":[-2.356485,51.377962]}}"
"Very many potholes",https://www.fixmystreet.com/report/47014,"2009-03-02 22:26:46 UTC",confirmed,"2009-03-02 22:35:02 UTC",Potholes,"2009-04-03 15:00:28 UTC",51.35034135,-2.41346148,"Bathavon West","{""latitude"":51.35034135,""longitude"":-2.41346148,""geojson"":{""type"":""Point"",""coordinates"":[-2.41346148,51.35034135]}}"
"Dog mess on pavement",https://www.fixmystreet.com/report/619104,"2015-04-10 09:29:33 UTC",confirmed,"2015-04-10 09:30:14 UTC","Dog fouling","2015-04-10 09:30:14 UTC",51.389715,-2.366432,Lansdown,"{""latitude"":51.389715,""longitude"":-2.366432,""geojson"":{""type"":""Point"",""coordinates"":[-2.366432,51.389715]}}"
"Street Light Out",https://www.fixmystreet.com/report/411448,"2013-12-14 10:49:55 UTC","fixed - user","2013-12-14 10:50:18 UTC","Street lighting","2013-12-17 16:23:51 UTC",51.373811,-2.400654561,Southdown,"{""latitude"":51.373811,""longitude"":-2.400654561,""geojson"":{""type"":""Point"",""coordinates"":[-2.400654561,51.373811]}}"
"Very poor road in need of repair",https://www.fixmystreet.com/report/596733,"2015-03-01 14:22:10 UTC",confirmed,"2015-03-01 14:25:11 UTC",Roads/highways,"2015-03-01 14:25:11 UTC",51.398477,-2.302152,Bathford,"{""latitude"":51.398477,""longitude"":-2.302152,""geojson"":{""type"":""Point"",""coordinates"":[-2.302152,51.398477]}}"
"Corporate use of the car park",https://www.fixmystreet.com/report/442585,"2014-02-19 07:25:09 UTC",confirmed,"2014-02-19 07:30:12 UTC","Car parking","2014-02-19 09:10:48 UTC",51.2913744,-2.446541246,Radstock,"{""latitude"":51.2913744,""longitude"":-2.446541246,""geojson"":{""type"":""Point"",""coordinates"":[-2.446541246,51.2913744]}}"
"Deep pothole",https://www.fixmystreet.com/report/610256,"2015-03-24 07:34:45 UTC","fixed - user","2015-03-24 07:35:36 UTC",Potholes,"2015-04-21 08:12:46 UTC",51.407574,-2.469877,Saltford,"{""latitude"":51.407574,""longitude"":-2.469877,""geojson"":{""type"":""Point"",""coordinates"":[-2.469877,51.407574]}}"
"Several potholes near library",https://www.fixmystreet.com/report/162898,"2011-02-07 19:47:12 UTC",confirmed,"2011-02-07 19:50:01 UTC",Potholes,"2011-02-07 19:50:01 UTC",51.30609739,-2.502240499,Paulton,"{""latitude"":51.30609739,""longitude"":-2.502240499,""geojson"":{""type"":""Point"",""coordinates"":[-2.502240499,51.30609739]}}"
"Sunken man hole cover",https://www.fixmystreet.com/report/486013,"2014-06-09 16:23:42 UTC",confirmed,"2014-06-09 16:25:16 UTC",Potholes,"2014-06-09 16:25:16 UTC",51.29120667,-2.492465838,"Midsomer Norton","{""latitude"":51.29120667,""longitude"":-2.492465838,""geojson"":{""type"":""Point"",""coordinates"":[-2.492465838,51.29120667]}}"
"Vegetation overgrowing onto path",https://www.fixmystreet.com/report/535058,"2014-10-20 11:15:01 UTC","fixed - user","2014-10-20 11:15:10 UTC",Pavements/footpaths,"2014-11-23 12:16:51 UTC",51.29179319,-2.479114381,"Midsomer Norton","{""latitude"":51.29179319,""longitude"":-2.479114381,""geojson"":{""type"":""Point"",""coordinates"":[-2.479114381,51.29179319]}}"
"Overgrown path",https://www.fixmystreet.com/report/476719,"2014-05-20 19:31:21 UTC",confirmed,"2014-05-20 19:35:35 UTC",Pavements/footpaths,"2015-02-25 17:16:09 UTC",51.379314,-2.381481,Westmoreland,"{""latitude"":51.379314,""longitude"":-2.381481,""geojson"":{""type"":""Point"",""coordinates"":[-2.381481,51.379314]}}"
Pothole,https://www.fixmystreet.com/report/425158,"2014-01-19 19:53:50 UTC","fixed - user","2014-01-19 19:55:12 UTC",Potholes,"2014-02-16 21:12:22 UTC",51.2857182,-2.484473263,"Midsomer Norton","{""latitude"":51.2857182,""longitude"":-2.484473263,""geojson"":{""type"":""Point"",""coordinates"":[-2.484473263,51.2857182]}}"
"Fly tipped asbestos",https://www.fixmystreet.com/report/640348,"2015-05-28 16:53:14 UTC",confirmed,"2015-05-28 17:10:33 UTC",Flytipping,"2015-05-28 17:10:33 UTC",51.347708,-2.383358,"Combe Hay","{""latitude"":51.347708,""longitude"":-2.383358,""geojson"":{""type"":""Point"",""coordinates"":[-2.383358,51.347708]}}"
"Large pothole",https://www.fixmystreet.com/report/448117,"2014-03-02 11:46:02 UTC",confirmed,"2014-03-02 11:50:16 UTC",Potholes,"2014-03-02 11:50:16 UTC",51.32989831,-2.429596345,"Dunkerton and Tunley","{""latitude"":51.32989831,""longitude"":-2.429596345,""geojson"":{""type"":""Point"",""coordinates"":[-2.429596345,51.32989831]}}"
Pothole,https://www.fixmystreet.com/report/579002,"2015-01-30 19:21:17 UTC",confirmed,"2015-01-30 19:25:13 UTC",Potholes,"2015-01-30 19:25:13 UTC",51.40785191,-2.395997823,Charlcombe,"{""latitude"":51.40785191,""longitude"":-2.395997823,""geojson"":{""type"":""Point"",""coordinates"":[-2.395997823,51.40785191]}}"
"Pothole in road surface",https://www.fixmystreet.com/report/435698,"2014-02-07 07:39:54 UTC",confirmed,"2014-02-07 07:50:25 UTC",Potholes,"2014-03-26 08:12:17 UTC",51.402999,-2.453319,Saltford,"{""latitude"":51.402999,""longitude"":-2.453319,""geojson"":{""type"":""Point"",""coordinates"":[-2.453319,51.402999]}}"
"Pot holes near pedestrian crossing",https://www.fixmystreet.com/report/594500,"2015-02-25 20:08:07 UTC","fixed - user","2015-02-25 20:10:18 UTC",Potholes,"2015-03-25 20:43:54 UTC",51.3781,-2.361658,Abbey,"{""latitude"":51.3781,""longitude"":-2.361658,""geojson"":{""type"":""Point"",""coordinates"":[-2.361658,51.3781]}}"
"Worn Park Restrictions Sign",https://www.fixmystreet.com/report/530814,"2014-10-08 15:55:34 UTC",confirmed,"2014-10-08 16:00:10 UTC",Parks/landscapes,"2014-11-24 12:47:41 UTC",51.38857727,-2.371591508,Lansdown,"{""latitude"":51.38857727,""longitude"":-2.371591508,""geojson"":{""type"":""Point"",""coordinates"":[-2.371591508,51.38857727]}}"
"Flytip or tenant laziness",https://www.fixmystreet.com/report/138598,"2010-10-16 10:58:13 UTC",fixed,"2010-10-16 11:00:03 UTC","Rubbish (refuse and recycling)","2010-10-21 09:10:40 UTC",51.38260902,-2.388611559,Newbridge,"{""latitude"":51.38260902,""longitude"":-2.388611559,""geojson"":{""type"":""Point"",""coordinates"":[-2.388611559,51.38260902]}}"
"Refusal to pick up",https://www.fixmystreet.com/report/117916,"2010-06-06 19:24:57 UTC",confirmed,"2010-06-06 19:30:02 UTC","Dog fouling","2010-06-06 19:30:02 UTC",51.40186865,-2.451434787,Saltford,"{""latitude"":51.40186865,""longitude"":-2.451434787,""geojson"":{""type"":""Point"",""coordinates"":[-2.451434787,51.40186865]}}"
"Overgrown hedges",https://www.fixmystreet.com/report/663905,"2015-07-19 11:57:45 UTC",confirmed,"2015-07-19 12:00:19 UTC",Trees,"2015-07-19 12:00:19 UTC",51.395782,-2.391282,Weston,"{""latitude"":51.395782,""longitude"":-2.391282,""geojson"":{""type"":""Point"",""coordinates"":[-2.391282,51.395782]}}"
"Holes in road from previous repairs",https://www.fixmystreet.com/report/463142,"2014-04-07 14:03:35 UTC","fixed - user","2014-04-07 14:05:16 UTC",Roads/highways,"2014-05-06 12:29:42 UTC",51.37724011,-2.38395307,Westmoreland,"{""latitude"":51.37724011,""longitude"":-2.38395307,""geojson"":{""type"":""Point"",""coordinates"":[-2.38395307,51.37724011]}}"
"Several potholes on the uphill side of North Road",https://www.fixmystreet.com/report/172486,"2011-03-11 14:42:21 UTC",confirmed,"2011-03-11 14:45:02 UTC",Potholes,"2011-04-20 10:08:07 UTC",51.38007295,-2.339578978,Bathwick,"{""latitude"":51.38007295,""longitude"":-2.339578978,""geojson"":{""type"":""Point"",""coordinates"":[-2.339578978,51.38007295]}}"
"Graffiti tag",https://www.fixmystreet.com/report/2603,"2007-04-18 15:04:56 UTC",unconfirmed,,Graffiti,"2007-04-18 15:04:56 UTC",51.38444362,-2.382141935,Kingsmead,"{""latitude"":51.38444362,""longitude"":-2.382141935,""geojson"":{""type"":""Point"",""coordinates"":[-2.382141935,51.38444362]}}"
"Litter Bin Missing at Bus Stop",https://www.fixmystreet.com/report/5348,"2007-06-15 10:12:57 UTC",fixed,"2007-06-18 11:10:18 UTC","Street cleaning","2007-10-01 16:51:46 UTC",51.38700844,-2.398917595,Newbridge,"{""latitude"":51.38700844,""longitude"":-2.398917595,""geojson"":{""type"":""Point"",""coordinates"":[-2.398917595,51.38700844]}}"
"Streetlight not working",https://www.fixmystreet.com/report/344875,"2013-04-06 21:12:33 UTC",confirmed,"2013-04-06 21:15:10 UTC","Street lighting","2013-04-06 21:15:10 UTC",51.371869,-2.398651,Southdown,"{""latitude"":51.371869,""longitude"":-2.398651,""geojson"":{""type"":""Point"",""coordinates"":[-2.398651,51.371869]}}"
"Cardboard and Rubbish",https://www.fixmystreet.com/report/72840,"2009-09-11 10:37:01 UTC",fixed,"2009-09-11 10:40:02 UTC","Rubbish (refuse and recycling)","2010-02-01 11:59:11 UTC",51.39439585,-2.34531576,Walcot,"{""latitude"":51.39439585,""longitude"":-2.34531576,""geojson"":{""type"":""Point"",""coordinates"":[-2.34531576,51.39439585]}}"
"Huge pothole",https://www.fixmystreet.com/report/447934,"2014-03-01 19:04:31 UTC","fixed - user","2014-03-01 19:05:22 UTC",Potholes,"2014-03-29 19:40:07 UTC",51.40107092,-2.307702069,Bathford,"{""latitude"":51.40107092,""longitude"":-2.307702069,""geojson"":{""type"":""Point"",""coordinates"":[-2.307702069,51.40107092]}}"
"Damaged surface in Church Lane",https://www.fixmystreet.com/report/319169,"2013-02-07 13:58:01 UTC",confirmed,"2013-02-07 14:00:14 UTC",Potholes,"2013-02-07 14:00:14 UTC",51.32824315,-2.542296875,Clutton,"{""latitude"":51.32824315,""longitude"":-2.542296875,""geojson"":{""type"":""Point"",""coordinates"":[-2.542296875,51.32824315]}}"
"More flyposting at morrisons entrance",https://www.fixmystreet.com/report/193655,"2011-07-12 19:38:18 UTC",confirmed,"2011-07-12 19:40:05 UTC",Flyposting,"2011-07-12 19:40:05 UTC",51.391833,-2.352455,Walcot,"{""latitude"":51.391833,""longitude"":-2.352455,""geojson"":{""type"":""Point"",""coordinates"":[-2.352455,51.391833]}}"
"Numerous potholes",https://www.fixmystreet.com/report/133674,"2010-09-16 12:50:00 UTC",fixed,"2010-09-16 13:15:03 UTC",Potholes,"2010-10-14 16:00:32 UTC",51.30008422,-2.624999438,"East Harptree","{""latitude"":51.30008422,""longitude"":-2.624999438,""geojson"":{""type"":""Point"",""coordinates"":[-2.624999438,51.30008422]}}"
"Broken glass on road",https://www.fixmystreet.com/report/22119,"2008-05-04 17:33:19 UTC",fixed,"2008-05-04 17:35:07 UTC",Roads/highways,"2008-05-15 13:05:07 UTC",51.35528559,-2.381634675,"Odd Down","{""latitude"":51.35528559,""longitude"":-2.381634675,""geojson"":{""type"":""Point"",""coordinates"":[-2.381634675,51.35528559]}}"
"Huge pothole",https://www.fixmystreet.com/report/223291,"2012-01-09 18:36:35 UTC","fixed - user","2012-01-09 19:00:06 UTC",Potholes,"2012-02-06 21:06:04 UTC",51.39256701,-2.356254923,Walcot,"{""latitude"":51.39256701,""longitude"":-2.356254923,""geojson"":{""type"":""Point"",""coordinates"":[-2.356254923,51.39256701]}}"
Potholes,https://www.fixmystreet.com/report/94981,"2010-02-10 11:16:40 UTC",fixed,"2010-02-10 11:20:05 UTC",Potholes,"2010-03-10 11:34:40 UTC",51.38506075,-2.341321684,Bathwick,"{""latitude"":51.38506075,""longitude"":-2.341321684,""geojson"":{""type"":""Point"",""coordinates"":[-2.341321684,51.38506075]}}"
"Illegally Parked Car",https://www.fixmystreet.com/report/206992,"2011-10-11 11:23:13 UTC",confirmed,"2011-10-11 11:25:05 UTC","Car parking","2011-11-08 12:56:21 UTC",51.409582,-2.497875,Keynsham,"{""latitude"":51.409582,""longitude"":-2.497875,""geojson"":{""type"":""Point"",""coordinates"":[-2.497875,51.409582]}}"
"Broken glass bottles on road",https://www.fixmystreet.com/report/392950,"2013-10-08 12:31:31 UTC","fixed - user","2013-10-08 12:35:36 UTC",Roads/highways,"2013-11-22 12:25:09 UTC",51.36271395,-2.362323492,Lyncombe,"{""latitude"":51.36271395,""longitude"":-2.362323492,""geojson"":{""type"":""Point"",""coordinates"":[-2.362323492,51.36271395]}}"
"Water flowing onto road",https://www.fixmystreet.com/report/361762,"2013-06-02 10:23:08 UTC",confirmed,"2013-06-02 10:25:09 UTC",Roads/highways,"2013-06-02 10:25:09 UTC",51.366813,-2.346067,Widcombe,"{""latitude"":51.366813,""longitude"":-2.346067,""geojson"":{""type"":""Point"",""coordinates"":[-2.346067,51.366813]}}"
"Street lighting",https://www.fixmystreet.com/report/226296,"2012-01-22 15:46:16 UTC",confirmed,"2012-01-22 15:50:05 UTC","Street lighting","2012-01-22 15:50:05 UTC",51.38489635,-2.390145109,Newbridge,"{""latitude"":51.38489635,""longitude"":-2.390145109,""geojson"":{""type"":""Point"",""coordinates"":[-2.390145109,51.38489635]}}"
"Potholes and trenches",https://www.fixmystreet.com/report/123996,"2010-07-11 13:21:26 UTC",confirmed,"2010-07-11 13:25:02 UTC",Potholes,"2010-12-28 17:36:36 UTC",51.38437819,-2.388145575,Kingsmead,"{""latitude"":51.38437819,""longitude"":-2.388145575,""geojson"":{""type"":""Point"",""coordinates"":[-2.388145575,51.38437819]}}"
"Anti social and dangerous parking",https://www.fixmystreet.com/report/440649,"2014-02-16 03:24:52 UTC",confirmed,"2014-02-16 03:30:11 UTC","Car parking","2014-03-16 05:18:14 UTC",51.30105284,-2.453383159,Radstock,"{""latitude"":51.30105284,""longitude"":-2.453383159,""geojson"":{""type"":""Point"",""coordinates"":[-2.453383159,51.30105284]}}"
"Scratched Cars",https://www.fixmystreet.com/report/634,"2007-03-08 12:53:58 UTC",confirmed,"2007-03-08 13:30:21 UTC",Other,"2007-03-08 13:30:21 UTC",51.37550167,-2.38750482,Westmoreland,"{""latitude"":51.37550167,""longitude"":-2.38750482,""geojson"":{""type"":""Point"",""coordinates"":[-2.38750482,51.37550167]}}"
"Health & Safety risk/excess rubbish ",https://www.fixmystreet.com/report/60075,"2009-06-02 10:16:02 UTC",confirmed,"2009-06-02 10:20:01 UTC","Rubbish (refuse and recycling)","2009-06-02 10:20:01 UTC",51.39371303,-2.342572591,Walcot,"{""latitude"":51.39371303,""longitude"":-2.342572591,""geojson"":{""type"":""Point"",""coordinates"":[-2.342572591,51.39371303]}}"
"Railings/crossing outside Carpenter House",https://www.fixmystreet.com/report/77571,"2009-10-22 10:50:17 UTC",confirmed,"2009-10-22 11:05:02 UTC",Roads/highways,"2010-02-11 14:19:19 UTC",51.37795167,-2.360528723,Abbey,"{""latitude"":51.37795167,""longitude"":-2.360528723,""geojson"":{""type"":""Point"",""coordinates"":[-2.360528723,51.37795167]}}"
"Street Light x4 Out",https://www.fixmystreet.com/report/414496,"2013-12-27 00:44:16 UTC","fixed - user","2013-12-27 00:45:11 UTC","Street lighting","2014-01-03 20:41:40 UTC",51.37375742,-2.401620156,Southdown,"{""latitude"":51.37375742,""longitude"":-2.401620156,""geojson"":{""type"":""Point"",""coordinates"":[-2.401620156,51.37375742]}}"
"Graffiti on wall",https://www.fixmystreet.com/report/41867,"2009-01-27 15:54:18 UTC",confirmed,"2009-01-31 13:10:12 UTC",Graffiti,"2009-05-23 20:53:01 UTC",51.37917387,-2.378521467,Westmoreland,"{""latitude"":51.37917387,""longitude"":-2.378521467,""geojson"":{""type"":""Point"",""coordinates"":[-2.378521467,51.37917387]}}"
"Bushes encroaching on pavement",https://www.fixmystreet.com/report/495226,"2014-06-30 13:45:59 UTC",confirmed,"2014-06-30 13:50:42 UTC",Pavements/footpaths,"2014-06-30 13:50:42 UTC",51.399679,-2.485310777,Keynsham,"{""latitude"":51.399679,""longitude"":-2.485310777,""geojson"":{""type"":""Point"",""coordinates"":[-2.485310777,51.399679]}}"
Potholes,https://www.fixmystreet.com/report/251237,"2012-05-14 13:43:25 UTC","fixed - user","2012-05-14 13:45:06 UTC",Potholes,"2012-06-11 18:52:32 UTC",51.4307909,-2.402783841,Charlcombe,"{""latitude"":51.4307909,""longitude"":-2.402783841,""geojson"":{""type"":""Point"",""coordinates"":[-2.402783841,51.4307909]}}"
"Speed Bump",https://www.fixmystreet.com/report/106640,"2010-03-31 19:39:10 UTC",confirmed,"2010-03-31 19:45:04 UTC",Roads/highways,"2010-07-04 21:37:17 UTC",51.39524195,-2.32499619,"Bathavon North","{""latitude"":51.39524195,""longitude"":-2.32499619,""geojson"":{""type"":""Point"",""coordinates"":[-2.32499619,51.39524195]}}"
"Bags of rubble/cement left on the pavement",https://www.fixmystreet.com/report/457471,"2014-03-23 12:30:01 UTC",confirmed,"2014-03-23 12:35:10 UTC",Flytipping,"2014-04-20 17:47:18 UTC",51.401026,-2.394,Weston,"{""latitude"":51.401026,""longitude"":-2.394,""geojson"":{""type"":""Point"",""coordinates"":[-2.394,51.401026]}}"
"Pot Hole in Clutton Hill in Farmborough Parish",https://www.fixmystreet.com/report/319690,"2013-02-08 15:52:26 UTC","fixed - user","2013-02-08 15:55:26 UTC",Potholes,"2013-03-12 12:27:41 UTC",51.33649839,-2.518977757,Farmborough,"{""latitude"":51.33649839,""longitude"":-2.518977757,""geojson"":{""type"":""Point"",""coordinates"":[-2.518977757,51.33649839]}}"
"Hole in the road (Brassknocker Hill - Bath)",https://www.fixmystreet.com/report/261088,"2012-06-28 09:59:16 UTC","fixed - user","2012-06-28 10:00:19 UTC",Roads/highways,"2014-08-20 18:59:36 UTC",51.358035,-2.315964,"Monkton Combe","{""latitude"":51.358035,""longitude"":-2.315964,""geojson"":{""type"":""Point"",""coordinates"":[-2.315964,51.358035]}}"
"Large pothole",https://www.fixmystreet.com/report/588990,"2015-02-17 10:01:02 UTC",confirmed,"2015-02-17 10:05:52 UTC",Potholes,"2015-02-17 10:05:52 UTC",51.398277,-2.346891,Lambridge,"{""latitude"":51.398277,""longitude"":-2.346891,""geojson"":{""type"":""Point"",""coordinates"":[-2.346891,51.398277]}}"
"Been out of use 5 weeks",https://www.fixmystreet.com/report/114094,"2010-05-12 11:38:44 UTC",fixed,"2010-05-12 11:40:06 UTC","Public toilets","2010-07-12 21:11:43 UTC",51.38108258,-2.359887269,Abbey,"{""latitude"":51.38108258,""longitude"":-2.359887269,""geojson"":{""type"":""Point"",""coordinates"":[-2.359887269,51.38108258]}}"
"Range of potholes",https://www.fixmystreet.com/report/96252,"2010-02-16 21:32:03 UTC",confirmed,"2010-02-16 21:40:06 UTC",Potholes,"2010-06-09 09:09:24 UTC",51.40703205,-2.483876881,"Keynsham East","{""latitude"":51.40703205,""longitude"":-2.483876881,""geojson"":{""type"":""Point"",""coordinates"":[-2.483876881,51.40703205]}}"
"Numerous potholes",https://www.fixmystreet.com/report/180307,"2011-04-17 21:22:23 UTC",fixed,"2011-04-17 23:35:01 UTC",Potholes,"2011-05-16 06:34:29 UTC",51.389607,-2.401074,Newbridge,"{""latitude"":51.389607,""longitude"":-2.401074,""geojson"":{""type"":""Point"",""coordinates"":[-2.401074,51.389607]}}"
"Unsycronised Traffic Lights",https://www.fixmystreet.com/report/15634,"2008-02-08 17:44:30 UTC","fixed - user","2008-02-08 17:45:10 UTC","Traffic lights","2013-07-10 16:51:40 UTC",51.29701123,-2.533575588,"High Littleton","{""latitude"":51.29701123,""longitude"":-2.533575588,""geojson"":{""type"":""Point"",""coordinates"":[-2.533575588,51.29701123]}}"
"Another pot hole",https://www.fixmystreet.com/report/357878,"2013-05-17 09:13:24 UTC","fixed - user","2013-05-17 09:15:15 UTC",Potholes,"2013-06-17 11:17:57 UTC",51.33500643,-2.663603667,"Chew Stoke","{""latitude"":51.33500643,""longitude"":-2.663603667,""geojson"":{""type"":""Point"",""coordinates"":[-2.663603667,51.33500643]}}"
"Badly placed traffic island",https://www.fixmystreet.com/report/468217,"2014-04-24 08:51:07 UTC",confirmed,"2014-04-24 08:55:15 UTC",Roads/highways,"2014-04-24 08:55:15 UTC",51.40844851,-2.472117759,Keynsham,"{""latitude"":51.40844851,""longitude"":-2.472117759,""geojson"":{""type"":""Point"",""coordinates"":[-2.472117759,51.40844851]}}"
"Holes forming around the drain covers",https://www.fixmystreet.com/report/460220,"2014-03-30 23:24:01 UTC","fixed - user","2014-03-30 23:25:16 UTC",Potholes,"2014-05-31 11:44:44 UTC",51.40882772,-2.395579573,Charlcombe,"{""latitude"":51.40882772,""longitude"":-2.395579573,""geojson"":{""type"":""Point"",""coordinates"":[-2.395579573,51.40882772]}}"
"Street light broke",https://www.fixmystreet.com/report/232080,"2012-02-16 08:57:38 UTC",confirmed,"2012-02-16 09:00:09 UTC","Street lighting","2012-02-16 09:00:09 UTC",51.399439,-2.389876,Weston,"{""latitude"":51.399439,""longitude"":-2.389876,""geojson"":{""type"":""Point"",""coordinates"":[-2.389876,51.399439]}}"
"Fence panel removed from fence by communal green space",https://www.fixmystreet.com/report/44081,"2009-02-12 18:04:37 UTC",fixed,"2009-02-12 18:20:05 UTC",Parks/landscapes,"2009-04-23 12:52:42 UTC",51.37196158,-2.399416183,Southdown,"{""latitude"":51.37196158,""longitude"":-2.399416183,""geojson"":{""type"":""Point"",""coordinates"":[-2.399416183,51.37196158]}}"
"Growing Pothole",https://www.fixmystreet.com/report/159752,"2011-01-27 22:54:09 UTC",fixed,"2011-01-27 23:00:02 UTC",Potholes,"2011-02-23 09:33:44 UTC",51.39964977,-2.390854748,Weston,"{""latitude"":51.39964977,""longitude"":-2.390854748,""geojson"":{""type"":""Point"",""coordinates"":[-2.390854748,51.39964977]}}"
"Undergrowth obstructing path",https://www.fixmystreet.com/report/382111,"2013-08-25 14:46:39 UTC","fixed - user","2013-08-25 14:50:09 UTC",Pavements/footpaths,"2013-10-07 07:43:38 UTC",51.29145302,-2.462065677,Radstock,"{""latitude"":51.29145302,""longitude"":-2.462065677,""geojson"":{""type"":""Point"",""coordinates"":[-2.462065677,51.29145302]}}"
"Abandoned Car",https://www.fixmystreet.com/report/330954,"2013-03-07 09:29:38 UTC",unconfirmed,,"Abandoned vehicles","2013-03-07 09:29:38 UTC",51.37946988,-2.370512233,Widcombe,"{""latitude"":51.37946988,""longitude"":-2.370512233,""geojson"":{""type"":""Point"",""coordinates"":[-2.370512233,51.37946988]}}"
"Broken Stile",https://www.fixmystreet.com/report/290197,"2012-11-12 21:33:44 UTC",confirmed,"2012-11-12 21:40:08 UTC",Pavements/footpaths,"2012-11-12 21:40:08 UTC",51.412814,-2.372155,Charlcombe,"{""latitude"":51.412814,""longitude"":-2.372155,""geojson"":{""type"":""Point"",""coordinates"":[-2.372155,51.412814]}}"
"Road repair needed urgently",https://www.fixmystreet.com/report/449013,"2014-03-03 21:31:13 UTC",unconfirmed,,Roads/highways,"2014-03-03 21:31:13 UTC",51.353984,-2.611599,"Chew Magna","{""latitude"":51.353984,""longitude"":-2.611599,""geojson"":{""type"":""Point"",""coordinates"":[-2.611599,51.353984]}}"
"New LED Street Light Not Working",https://www.fixmystreet.com/report/474308,"2014-05-13 09:46:05 UTC",confirmed,"2014-05-13 09:50:11 UTC","Street lighting","2014-05-13 09:50:11 UTC",51.291422,-2.477794,"Midsomer Norton","{""latitude"":51.291422,""longitude"":-2.477794,""geojson"":{""type"":""Point"",""coordinates"":[-2.477794,51.291422]}}"
"Deep potholes and uneven road surface",https://www.fixmystreet.com/report/248449,"2012-05-01 09:39:11 UTC",confirmed,"2012-05-01 09:40:07 UTC",Potholes,"2012-09-19 21:17:44 UTC",51.412464,-2.488275,Keynsham,"{""latitude"":51.412464,""longitude"":-2.488275,""geojson"":{""type"":""Point"",""coordinates"":[-2.488275,51.412464]}}"
"Hedges overgrowing onto pathways",https://www.fixmystreet.com/report/266801,"2012-07-20 15:43:53 UTC",confirmed,"2012-07-21 09:15:14 UTC",Pavements/footpaths,"2012-09-15 14:57:32 UTC",51.37397,-2.399532,Southdown,"{""latitude"":51.37397,""longitude"":-2.399532,""geojson"":{""type"":""Point"",""coordinates"":[-2.399532,51.37397]}}"
"Series of deep potholes developed over 4in deep",https://www.fixmystreet.com/report/636263,"2015-05-19 09:00:07 UTC",confirmed,"2015-05-19 09:05:40 UTC",Potholes,"2015-06-17 06:39:03 UTC",51.397203,-2.51573,"Compton Dando","{""latitude"":51.397203,""longitude"":-2.51573,""geojson"":{""type"":""Point"",""coordinates"":[-2.51573,51.397203]}}"
"Pot hole by pedestrian crossing",https://www.fixmystreet.com/report/587092,"2015-02-13 21:03:17 UTC","fixed - user","2015-02-13 21:05:12 UTC",Potholes,"2015-08-01 01:32:45 UTC",51.293039,-2.479814,"Midsomer Norton","{""latitude"":51.293039,""longitude"":-2.479814,""geojson"":{""type"":""Point"",""coordinates"":[-2.479814,51.293039]}}"
Pothole,https://www.fixmystreet.com/report/430479,"2014-01-29 22:52:07 UTC","fixed - user","2014-01-29 22:55:09 UTC",Potholes,"2015-10-15 07:36:23 UTC",51.41469768,-2.392881097,Charlcombe,"{""latitude"":51.41469768,""longitude"":-2.392881097,""geojson"":{""type"":""Point"",""coordinates"":[-2.392881097,51.41469768]}}"
"Standing Puddle on Publow Lane summit",https://www.fixmystreet.com/report/390419,"2013-09-26 20:40:17 UTC",confirmed,"2013-09-26 20:45:31 UTC",Roads/highways,"2013-10-24 22:32:25 UTC",51.37685248,-2.5392297,Publow,"{""latitude"":51.37685248,""longitude"":-2.5392297,""geojson"":{""type"":""Point"",""coordinates"":[-2.5392297,51.37685248]}}"
"Blown green bulb at traffic light",https://www.fixmystreet.com/report/312176,"2013-01-24 07:26:18 UTC","fixed - user","2013-01-24 07:30:09 UTC","Traffic lights","2013-02-21 08:00:25 UTC",51.38144768,-2.377114743,Westmoreland,"{""latitude"":51.38144768,""longitude"":-2.377114743,""geojson"":{""type"":""Point"",""coordinates"":[-2.377114743,51.38144768]}}"
"Overgrown Hedges",https://www.fixmystreet.com/report/642673,"2015-06-02 21:16:09 UTC",confirmed,"2015-06-02 21:20:28 UTC",Trees,"2015-06-02 21:20:28 UTC",51.39573,-2.391236,Weston,"{""latitude"":51.39573,""longitude"":-2.391236,""geojson"":{""type"":""Point"",""coordinates"":[-2.391236,51.39573]}}"
